,編號,土地位置建物門牌,Latitude,Longitude,交易年月日,建築完成年月,總價元,單價元平方公尺,st_range
0,RPWOMLOJJIGGFAA37DA,臺北市文山區試院路１５４巷２弄２３號,24.9910655,121.5476377,1100911,750321.0,8800000,107069.0,[]
1,RPUNMLKKJIGGFAA76DA,臺北市文山區萬芳路１０７巷８號十樓,24.996672,121.5617215,1101030,1010919.0,43880000,167391.0,['萬芳醫院']
2,RPWOMLNLJIGGFAA47DA,臺北市文山區萬芳路３號四樓之２,24.9949466,121.5711831,1101021,881124.0,10700000,202109.0,['木柵']
3,RPTNMLQLJIGGFAA37DA,臺北市文山區木柵路一段３號五樓之１,24.9885042,121.5426439,1101025,720309.0,22000000,166352.0,['景美']
4,RPSNMLTLJIGGFAA57DA,臺北市文山區辛亥路五段５２號九樓,24.9995365,121.5537596,1101113,1060823.0,16900000,194186.0,['萬芳醫院']
6,RPTOMLSJKIGGFAA57DA,臺北市中正區南昌路一段１２５巷１４號三樓,25.0298734,121.5189839,1101108,741004.0,26450000,230180.0,['中正紀念堂']
7,RPXOMLSJKIGGFAA97DA,臺北市文山區指南路三段３４巷１２之１號,24.9745797,121.5800668,1101031,841009.0,35000000,174364.0,[]
8,RPOQMLSJKIGGFAA27DA,臺北市文山區景豐街４８巷２３號三樓,25.0005874,121.5468847,1101126,1010711.0,48500000,192989.0,[]
9,RPTNMLTJKIGGFAA57DA,臺北市文山區仙岩路２２巷２１號八樓,24.9988027,121.5499194,1101103,840411.0,23300000,187525.0,[]
10,RPXNMLTJKIGGFAA97DA,臺北市中正區詔安街８８號二樓,25.0253611,121.5122438,1101112,1060218.0,28800000,253956.0,[]
11,RPQOMLTJKIGGFAA37DA,臺北市文山區政大二街１７９號,24.9890025,121.5860302,1100907,841215.0,25500000,120040.0,[]
13,RPXOMLPKJIGGFBA77DA,臺北市大同區敦煌路１４２號三樓,25.0763034,121.5148989,1101117,720126.0,8000000,85461.0,[]
14,RPRNMLTKJIGGFBA47DA,臺北市大同區民權西路１２２號三樓之１,25.0627316,121.5167065,1101018,970623.0,9000000,223602.0,"['民權西路', '大橋頭']"
15,RPTOMLTKJIGGFBA77DA,臺北市大同區南京西路２８８號十二樓,25.053927,121.513958,1100925,1011214.0,41800000,239104.0,[]
16,RPXNMLMJKIGGFBA37DA,臺北市萬華區中華路一段８０號八樓之２,25.0454747,121.5087857,1101125,700716.0,2800000,162696.0,"['西門', '北門']"
17,RPVNMLQJKIGGFBA57DA,臺北市萬華區西藏路５０２號三樓,25.0288941,121.4937796,1101031,650528.0,9500000,134580.0,[]
19,RPRPMLRJKIGGFBA47DA,臺北市萬華區興寧街６６巷２弄２６號二樓,25.0319005,121.4988299,1101107,700115.0,11000000,137431.0,['龍山寺']
20,RPPPMLTJKIGGFBA47DA,臺北市萬華區環河南路二段１００巷２７弄２號,25.0376556,121.4952903,1101130,720919.0,2500000,83949.0,[]
22,RPTNMLKKKIGGFBA86DA,臺北市萬華區西藏路１２３號十四樓,25.029518,121.502493,1101031,1000908.0,34000000,179089.0,[]
23,RPSOMLRLRHGGFCA38DA,臺北市中山區民權西路６３號十樓,25.0630736,121.5201486,1100925,1061031.0,78400000,347164.0,['民權西路']
24,SPSOMLRLRHGGFCA48DA,臺北市中山區民權西路６３號十樓之１,25.0630736,121.5201486,1100925,1061031.0,60700000,347165.0,['民權西路']
25,RPPNMLKMIIGGFCA56DA,臺北市中山區民權東路一段６３號七樓,25.0629089,121.5252361,1101030,690610.0,33600000,192066.0,['中山國小']
26,RPPPMLPJJIGGFCA07DA,臺北市內湖區金龍路２３６號五樓,25.0884918,121.5864432,1101019,721107.0,14200000,131591.0,[]
27,RPRQMLQKJIGGFCA57DA,臺北市內湖區內湖路一段９１巷３９弄１５號三樓,25.0883728,121.5620277,1100822,741218.0,13280000,134427.0,[]
28,RPVPMLSKJIGGFCA08DA,臺北市內湖區港華街５１巷１０號五樓,25.083687,121.5755908,1101015,740618.0,19500000,155950.0,['港墘']
29,RPQQMLTKJIGGFCA77DA,臺北市內湖區文湖街２１巷７號五樓,25.0870375,121.5601355,1101106,780221.0,22000000,164130.0,[]
30,RPVQMLKMJIGGFCA57DA,臺北市內湖區民權東路六段２８０巷４６號二樓,25.0707787,121.6075371,1100918,980122.0,55880000,201108.0,['葫洲']
31,RPUTMLKMJIGGFCA77DA,臺北市內湖區康樂街７２巷１７弄２９號七樓,25.0706374,121.6173502,1101025,871020.0,17160000,151470.0,[]
32,RPPQMLLJKIGGFCA86DA,臺北市中山區新生北路三段５８號二樓之４,25.0656476,121.5273562,1101124,711209.0,10500000,158995.0,['中山國小']
34,RPTQMLRJKIGGFCA87DA,臺北市中山區雙城街３７巷３號六樓,25.0671867,121.5249409,1101123,790724.0,20000000,189304.0,[]
35,RPRNMLSJKIGGFCA47DA,臺北市中山區復興北路４４８號十一樓,25.0641073,121.5439944,1101116,971015.0,12300000,259330.0,['中山國中']
36,RPTOMLSJKIGGFCA77DA,臺北市內湖區民權東路六段２８０巷４５弄３９號三樓之２,25.0702994,121.6059049,1101110,831221.0,7820000,211924.0,['葫洲']
37,RPXOMLSJKIGGFCA18DA,臺北市內湖區康樂街１９９號四樓之１,25.0760892,121.6211943,1101030,1010204.0,19000000,128179.0,[]
38,RPSPMLTJKIGGFCA87DA,臺北市中山區合江街１４４巷１６號四樓,25.0598261,121.5383933,1101107,590303.0,15200000,154143.0,[]
39,RPUOMLTJKIGGFCA97DA,臺北市內湖區文湖街２１巷１１８弄３２號三樓之１,25.0913983,121.5599093,1101110,1010426.0,18100000,130122.0,[]
40,RPPPMLTJKIGGFCA57DA,臺北市內湖區成功路四段１６７巷６弄１號五樓,25.0833045,121.5948769,1101107,690421.0,24500000,196110.0,['內湖']
41,RPPQMLKKKIGGFCA86DA,臺北市內湖區江南街１１１號八樓之６,25.0764841,121.576377,1101014,940412.0,33900000,241334.0,['港墘']
42,RPWNMLRLIIGGFDA97DA,臺北市信義區松德路２００巷５３號二樓,25.0344689,121.5734288,1100130,1061128.0,349680000,609984.0,['象山']
43,RPRNMLKKJIGGFDA76DA,臺北市信義區虎林街２４２巷５０號四樓,25.035824,121.576551,1100915,580409.0,19000000,187026.0,[]
44,RPVOMLSKJIGGFDA08DA,臺北市松山區長安東路二段２１９號七樓之９,25.0482805,121.5449043,1101031,730913.0,13600000,235416.0,['南京復興']
45,RPXPMLMLJIGGFDA87DA,臺北市南港區東新街１８０巷１１號地下一層之２,25.044299,121.593806,1101109,920107.0,7400000,140019.0,[]
47,RPWNMLTLJIGGFDA28DA,臺北市南港區舊莊街一段２１２巷１８號四樓,25.038346,121.6220713,1101113,1050325.0,11200000,123430.0,[]
48,RPQRMLTLJIGGFDA08DA,臺北市信義區中坡南路２０１巷１８之３號二樓,25.0414529,121.5866558,1101106,1100423.0,27000000,226787.0,[]
49,RPVOMLKMJIGGFDA47DA,臺北市南港區園區街１７號三樓,25.0589321,121.6109537,1101120,951116.0,24880000,277400.0,[]
50,RPQNMLLJKIGGFDA76DA,臺北市南港區南港路二段１４２號七樓之３,25.0536399,121.6008003,1101106,831221.0,25500000,180697.0,[]
51,RPUSMLNJKIGGFDA87DA,臺北市信義區中坡南路１３４號,25.0404512,121.584628,1101012,680223.0,6000000,341880.0,[]
53,RPUTMLNJKIGGFDA97DA,臺北市信義區基隆路二段１７９號四樓之２,25.0250374,121.5536359,1101124,990901.0,31000000,217269.0,['六張犁']
54,RPSNMLRJKIGGFDA57DA,臺北市信義區信義路五段１１１號八樓之８,25.0332867,121.5732097,1101122,860926.0,13000000,259792.0,['象山']
56,RPQRMLSJKIGGFDA87DA,臺北市松山區健康路３２５巷３６號三樓,25.0570313,121.5670554,1101018,810114.0,26000000,213675.0,[]
57,RPPNMLTJKIGGFDA47DA,臺北市松山區八德路三段１５８巷２０弄４０號二樓之４,25.0473804,121.5543397,1101010,681124.0,6900000,209918.0,[]
58,RPUNMLTJKIGGFDA97DA,臺北市信義區基隆路一段１４１號九樓之５,25.0429861,121.5659519,1100924,950126.0,40000000,260637.0,['市政府']
59,RPXNMLPJIIGGFEA77DA,臺北市北投區奇岩路２４１巷７弄１０號三樓,25.1290345,121.5103903,1100908,1081223.0,37680000,165612.0,[]
60,RPPPMLQJIIGGFEA27DA,臺北市士林區天玉街３８巷１６弄８號三樓,25.1202401,121.5297093,1101006,680906.0,19650000,187984.0,[]
61,RPTOMLSKJIGGFEA97DA,臺北市士林區中山北路五段７０４巷２１號五樓,25.0981559,121.5285046,1101104,670626.0,20600000,150662.0,[]
62,RPOPMLSKJIGGFEA57DA,臺北市士林區德行東路２６５巷６號五樓,25.11026,121.5351546,1101107,730813.0,22500000,187328.0,[]
63,RPPPMLSKJIGGFEA67DA,臺北市北投區中央南路二段２８號八樓之５,25.1255916,121.5002502,1101114,970523.0,14650000,134133.0,['奇岩']
65,RPSNMLNLJIGGFEA37DA,臺北市士林區忠誠路一段９１之２號,25.104641,121.528222,1100722,721221.0,26500000,209453.0,[]
66,RPPPMLPLJIGGFEA47DA,臺北市士林區天母西路１８之９號四樓,25.1182916,121.5276451,1101106,680502.0,29500000,224574.0,[]
67,RPVNMLKMJIGGFEA47DA,臺北市士林區通河街１７號五樓,25.0800547,121.5233628,1101114,1011112.0,22280000,174022.0,[]
68,RPSOMLKMJIGGFEA27DA,臺北市北投區福美路２２５號六樓,25.1002823,121.5041197,1101113,1061117.0,28000000,176593.0,[]
69,RPOOMLLJKIGGFEA76DA,臺北市士林區基河路１２８號五樓之５,25.0885792,121.5232666,1100714,850916.0,6000000,222965.0,['劍潭']
70,RPSPMLMJKIGGFEA37DA,臺北市北投區大興街３２號十一樓,25.1299519,121.498802,1101108,1011130.0,58800000,170628.0,['北投']
71,RPTNMLNJKIGGFEA37DA,臺北市士林區平菁街９３巷２７號一樓、二樓,25.1381865,121.578083,1101201,5901.0,72000000,311203.0,[]
72,RPQNMLSJKIGGFEA57DA,臺北市士林區重慶北路四段８１號四樓之３,25.081794,121.5124362,1101105,680123.0,18800000,122118.0,[]
73,RPOOMLSJKIGGFEA47DA,臺北市士林區後街２１巷１９號五樓,25.0981484,121.5250587,1101022,1030618.0,15700000,219703.0,[]
74,RPVOMLSJKIGGFEA18DA,臺北市北投區大業路３００巷３３之１號,25.1285072,121.4994852,1101103,661004.0,17880000,199710.0,"['北投', '奇岩']"
76,RPPNMLTJKIGGFFA67DA,臺北市大安區信義路二段８０號八樓之１,25.0341198,121.5264883,1101030,860317.0,23000000,317285.0,['東門']
78,RPPOMLSJKIGGFFA67DA,臺北市大安區浦城街１３巷１９之１號,25.02454,121.527713,1101029,601213.0,14880000,244858.0,['台電大樓']
79,RPOOMLKKJIGGFAA98EA,臺北市文山區福興路９５巷７１號三樓,25.0057616,121.5466854,1101103,890529.0,8650000,121030.0,[]
80,RPPOMLKKJIGGFAA09EA,臺北市文山區萬安街１１１號二樓之２,25.0014487,121.5712223,1101011,810708.0,14500000,152941.0,"['木柵', '萬芳社區']"
82,RPUOMLTJKIGGFAA87EA,臺北市文山區萬美街一段６５號,25.0021936,121.5674968,1101130,860419.0,26000000,150768.0,['萬芳社區']
85,RPTNMLTJKIGGFBA77EA,臺北市萬華區德昌街１２號十二樓,25.0250823,121.4987775,1101115,880409.0,20780000,168069.0,[]
86,RPOPMLTJKIGGFBA47EA,臺北市萬華區萬大路１８７巷１弄３９號四樓,25.0287501,121.5008975,1101110,640508.0,6200000,168616.0,[]
87,RPSRMLKMJIGGFCA47EA,臺北市中山區南京東路一段３８號三樓之３,25.0519574,121.5242203,1101028,1001230.0,24000000,262467.0,['中山']
88,RPTRMLKMJIGGFCA57EA,臺北市中山區敬業三路１６２巷１３２號八樓,25.0778111,121.5594361,1101025,890628.0,33980000,237889.0,[]
89,RPUPMLSJKIGGFCA08EA,臺北市中山區南京東路一段１３２巷３１號六樓之１,25.0505227,121.5270535,1101121,740718.0,7500000,171664.0,[]
90,RPPSMLSJKIGGFCA87EA,臺北市內湖區內湖路三段６０巷８弄４０號四樓,25.0883396,121.5913333,1101111,700216.0,6660000,59656.0,[]
91,RPXNMLTJKIGGFCA28EA,臺北市中山區龍江路７６巷５３號地下室,25.0514304,121.5377338,1101128,661205.0,6000000,53730.0,['松江南京']
92,RPWOMLTJKIGGFCA28EA,臺北市中山區中山北路二段６５巷１６號二樓之１,25.0570153,121.5243641,1100920,621126.0,8250000,185435.0,['雙連']
93,RPQPMLTJKIGGFCA77EA,臺北市中山區新生北路二段７０號九樓之５,25.0567995,121.5271932,1101114,861115.0,8580000,204773.0,[]
94,RPTPMLTJKIGGFCA08EA,臺北市中山區建國北路三段７１號七樓之１,25.0651098,121.5372958,1101108,1041016.0,21000000,247350.0,[]
95,RPUPMLTJKIGGFCA18EA,臺北市中山區建國北路三段７１號十三樓之３,25.0651098,121.5372958,1101107,1041016.0,25000000,251244.0,[]
96,RPOQMLTJKIGGFCA67EA,臺北市中山區合江街８３巷２２號七樓,25.059032,121.540466,1101118,710510.0,30600000,232576.0,['中山國中']
97,RPPQMLTJKIGGFCA77EA,臺北市中山區復興北路１７８號十樓之１,25.0543251,121.5438625,1101008,851205.0,11500000,139954.0,['南京復興']
98,RPROMLKKKIGGFCA96EA,臺北市內湖區文湖街８１巷１６號七樓,25.0869362,121.5643599,1101105,840307.0,4000000,51335.0,[]
101,RPUPMLTLJIGGFDA38EA,臺北市信義區信義路五段１２７號十三樓之９,25.0339574,121.5740582,1101107,951229.0,15800000,307872.0,['象山']
102,RPVPMLTLJIGGFDA48EA,臺北市南港區研究院路二段１２巷５７弄１４號二樓,25.0478643,121.6136458,1101113,740802.0,12000000,123457.0,[]
103,RPOQMLSJKIGGFDA67EA,臺北市松山區八德路二段３４８號十樓之７,25.0476012,121.545363,1101016,980123.0,16800000,256489.0,[]
105,RPSNMLTJKIGGFDA87EA,臺北市信義區永吉路３０巷１０２弄１９號八樓,25.0434885,121.5680669,1101027,990908.0,32260000,282190.0,['市政府']
106,RPWNMLTJKIGGFEA38EA,臺北市北投區裕民四路９號三樓,25.1155531,121.5161269,1101115,650910.0,11000000,157300.0,['石牌']
107,RPPOMLTJKIGGFEA77EA,臺北市北投區尊賢街２４３巷３５號二樓,25.116467,121.5056579,1101110,621228.0,13610000,142319.0,['唭哩岸']
108,RPROMLTJKIGGFEA97EA,臺北市北投區尊賢街２４３巷３５號,25.116467,121.5056579,1101110,621228.0,19900000,208094.0,['唭哩岸']
109,RPTOMLTJKIGGFEA18EA,臺北市北投區幽雅路７號十三樓之８,25.1372467,121.5134154,1101119,980205.0,6200000,127049.0,[]
110,RPOPMLTJKIGGFEA77EA,臺北市士林區葫蘆街２９巷５號五樓,25.0795629,121.5097325,1101021,791019.0,10000000,106895.0,[]
111,RPPOMLSJJIGGFFA67EA,臺北市大安區信義路四段１８１號八樓之１,25.0336392,121.5507682,1101113,731003.0,18400000,305749.0,['信義安和']
112,RPROMLSJKIGGFFA97EA,臺北市大安區樂業街７２巷２０號五樓,25.0215885,121.5500677,1090324,1100906.0,21800000,269369.0,['六張犁']
113,RPSOMLSJKIGGFFA08EA,臺北市大安區樂業街７２巷２０號八樓,25.0215885,121.5500677,1090828,1100906.0,21860000,270110.0,['六張犁']
114,RPTOMLSJKIGGFFA18EA,臺北市大安區樂業街７２巷２０號九樓,25.0215885,121.5500677,1090823,1100906.0,25580000,285185.0,['六張犁']
115,RPQNMLTJKIGGFFA87EA,臺北市大安區光復南路６８０號七樓之１,25.0301248,121.5575045,1101113,850105.0,9800000,274741.0,[]
116,RPPOMLTJKIGGFFA87EA,臺北市大安區通安街７１號七樓,25.0306615,121.5533513,1101101,701229.0,24500000,182781.0,['信義安和']
117,RPVNMLKKKIGGFFA57EA,臺北市大安區市民大道四段１２２號五樓之３,25.0443429,121.55123,1101106,760619.0,9780000,268166.0,['忠孝敦化']
118,RPUOMLTJKIGGFFA38EA,臺北市大安區安居街４６巷６號三樓,25.0204825,121.5538894,1101112,720502.0,8000000,187003.0,['六張犁']
119,RPTNMLKKKIGGFFA37EA,臺北市大安區羅斯福路二段１１７巷５號二樓之２,25.0241421,121.5249444,1101116,1071018.0,21000000,340014.0,"['古亭', '台電大樓']"
120,RPROMLSJJIGGFFA87EA,臺北市大安區和平東路一段１８５號十一樓之１,25.0264261,121.5331045,1101025,970519.0,44600000,362553.0,[]
122,RPVOMLMJKIGGFDA57EA,臺北市南港區東新街１１８巷６９號六樓,25.046021,121.589444,1101107,1010314.0,27800000,281747.0,[]
123,RPQPMLMJKIGGFDA17EA,臺北市松山區八德路三段２２５號八樓之２,25.048289,121.5570526,1101124,771223.0,9200000,242616.0,[]
124,RPPNMLNKKIGGFDA07EA,臺北市信義區基隆路一段１０３號八樓之４,25.0451473,121.5672146,1101112,910104.0,9900000,236164.0,['市政府']
125,RPTNMLNKKIGGFDA47EA,臺北市信義區忠孝東路五段３７２巷２７弄６８號二樓,25.03931,121.575375,1101118,710608.0,15500000,204135.0,['永春']
126,RPWPMLTLJIGGFDA58EA,臺北市信義區永吉路３０巷１４５號五樓之１,25.042614,121.5689982,1101029,961231.0,20350000,272459.0,['市政府']
